canonical_stem,image,split,contributor,session,annotation_status,qa_status,negative,objects,sha256,mouse,keyboard,laptop,cup,headphones
P01_S02_LAP_0004,P01_S02_LAP_0004.jpg,train,P01,S02,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,2,ec6ac3e63797882d3aefa09abc9911386fbd606ed51ab7879766b202f3627af8,0,0,1,1,0
P01_S02_LAP_0005,P01_S02_LAP_0005.jpg,train,P01,S02,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,1,553fedfc7c770cd8506bfb919506d1aae57a807e9b36951b2382a65290572655,0,0,1,0,0
P01_S02_LAP_0006,P01_S02_LAP_0006.jpg,train,P01,S02,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,1,3b355279c3f05c64344f965dfe3538ad72cca252158bdfe523847d80090c006e,0,0,1,0,0
P01_S02_MIX_0008,P01_S02_MIX_0008.jpg,train,P01,S02,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,2,9f636ade7cfe57686edb7b91bc935a2dc90823b88fc0d5de960fe59c2a2e68be,0,0,1,1,0
P01_S02_MIX_0009,P01_S02_MIX_0009.jpg,train,P01,S02,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,2,2e8b7059282569e8dd36f46b975ed812fd24e2bd826f2bb37a8d28f388c7b516,0,0,1,1,0
P01_S02_MIX_0010,P01_S02_MIX_0010.jpg,train,P01,S02,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,2,4993cffbf75cf626f82cb39a9f46810c776ee6317e3328c94296ffc4819a54a8,1,0,0,1,0
P01_S02_MIX_0013,P01_S02_MIX_0013.jpg,train,P01,S02,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,2,e3318bedbb11f18493e45ce11a75a37d4c5795035df07762d07b970b43db58cc,1,0,0,0,1
P01_S02_MIX_0014,P01_S02_MIX_0014.jpg,train,P01,S02,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,3,e369deb87c1e5db0e023161147255a8a141b516190c917e42c620a49a1d5f411,1,1,0,0,1
P01_S02_MIX_0015,P01_S02_MIX_0015.jpg,train,P01,S02,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,3,a210f78fbeeeb99d0eaa0b0eb9efd7b8cc076513447007a4a52c0c016cfd97b3,1,0,0,1,1
P01_S02_MIX_0016,P01_S02_MIX_0016.jpg,train,P01,S02,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,2,14519c17bdd59d30e3c01871aef016f879da37c6c2372c7cb5f8656554277929,1,0,1,0,0
P01_S02_MIX_0017,P01_S02_MIX_0017.jpg,train,P01,S02,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,3,d3742627383402a0e4e24a7efaa36aa147a2d0ad62e6a98929806348d7b0a529,1,1,0,1,0
P01_S02_MIX_0018,P01_S02_MIX_0018.jpg,train,P01,S02,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,3,677229aff507c66cababb0f84988df68bff56600ec9ad39a4038be82b523ca49,1,0,0,1,1
P01_S02_MIX_0019,P01_S02_MIX_0019.jpg,train,P01,S02,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,1,e386d43cfd4dbaaf8a1dd001177b060121a8cffaa92d2330b545229df3c93c4b,0,0,1,0,0
P01_S02_MIX_0020,P01_S02_MIX_0020.jpg,train,P01,S02,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,3,855993e4d8a967d7f8afe03d543352e3c76052fd64d1080d7949d2e484154ba6,1,0,1,1,0
P01_S02_MOU_0011,P01_S02_MOU_0011.jpg,train,P01,S02,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,1,72cd67fa8d28f5a95835e73f8292cfdfcc5e15d78825b35c359537ecce09385f,1,0,0,0,0
P01_S02_MOU_0012,P01_S02_MOU_0012.jpg,train,P01,S02,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,1,b491c3af10d956e4ec44eb713c8b2ad8eca4809ee9c57aab2c5c84cb402bc932,1,0,0,0,0
P01_S03_CUP_0011,P01_S03_CUP_0011.jpg,train,P01,S03,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,1,f06f1ec6bcf3e204f0bddf1d4766a7c71fbdb4a79c3038f1d1af953ffd959580,0,0,0,1,0
P01_S03_CUP_0012,P01_S03_CUP_0012.jpg,train,P01,S03,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,1,23aa70be5e58b547f4c6d5017f2edae6f990930cb8b7bff5d836a184f99edf91,0,0,0,1,0
P01_S03_CUP_0021,P01_S03_CUP_0021.jpg,train,P01,S03,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,1,c4b2545113c3c9451a32fcf0fde21433cebdbe0050097f96ef7376b20e320035,0,0,0,1,0
P01_S03_HDP_0003,P01_S03_HDP_0003.jpg,train,P01,S03,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,1,5c57c4e40724ab9765aee6ca64c054a8bd784f820f9bd80f145f4dc4a0972bd1,0,0,0,0,1
P01_S03_HDP_0004,P01_S03_HDP_0004.jpg,train,P01,S03,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,1,abaa278c769996f5d1bcdb0b8242e40e991522a09e93af174ef53a743f1f1260,0,0,0,0,1
P01_S03_KEY_0015,P01_S03_KEY_0015.jpg,train,P01,S03,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,2,9317979167e99c0f78d79a207c53eff7e960499184444c67fc6dbf6ad972d336,0,1,1,0,0
P01_S03_LAP_0013,P01_S03_LAP_0013.jpg,train,P01,S03,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,1,d71c6d0b5de5d68206b3c3c49303b743b40d542a0041f5915d0ee2a2904eff96,0,0,1,0,0
P01_S03_LAP_0014,P01_S03_LAP_0014.jpg,train,P01,S03,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,2,65f8a92fbcdf281ccf2d5007d6422e37813673ff5efbd6af96525ba658066283,0,0,1,0,1
P01_S03_MIX_0005,P01_S03_MIX_0005.jpg,train,P01,S03,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,2,8138c1c203f30f98b321fa9e1928deaf206ebcdeaf77c8f71f697791ede672f0,1,0,0,0,1
P01_S03_MIX_0006,P01_S03_MIX_0006.jpg,train,P01,S03,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,3,10bb99b98eb9a26969269215cfb4c6b3e5e51ffb0e003f12df73eaa9220db20c,1,1,0,0,1
P01_S03_MIX_0007,P01_S03_MIX_0007.jpg,train,P01,S03,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,2,bec58fe9d4b615f67dcde22976c095a2b9faad5b9209013fa84c4d3a362ec7ac,1,1,0,0,0
P01_S03_MIX_0008,P01_S03_MIX_0008.jpg,train,P01,S03,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,3,a69a28673b6dea92f7573c4a8d208f6f3c80a50cb60320115859bea54c66cc56,1,1,0,1,0
P01_S03_MIX_0009,P01_S03_MIX_0009.jpg,train,P01,S03,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,3,be5ff6498da76d7558103abada21ed92ece76133f32b4d138aec89bf1d134d2d,1,0,0,1,1
P01_S03_MIX_0010,P01_S03_MIX_0010.jpg,train,P01,S03,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,2,26914c1aa912a0e5d2aec743513f067441bdcb756674583d53a7ae7877ec8f15,0,0,0,1,1
P01_S03_MIX_0016,P01_S03_MIX_0016.jpg,train,P01,S03,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,6,0a13e44d3a661372b9200e51d379cee2f78dfde5b2b24d0ed8a2abefe5ed37ef,1,1,1,2,1
P01_S03_MIX_0017,P01_S03_MIX_0017.jpg,train,P01,S03,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,5,3de52923b1110f768326fd0d9b0caf7afc072ad092fe9ccbf4a0729efd350b91,1,1,1,1,1
P01_S03_MIX_0018,P01_S03_MIX_0018.jpg,train,P01,S03,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,4,f8b7e8e9f6f6b17b9811d11f80cea28297a329e52f03d804441087704d0d90cf,1,1,1,0,1
P01_S03_MIX_0023,P01_S03_MIX_0023.jpg,train,P01,S03,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,2,fe13099f8f916c58d58560779863b9bc94e37957a7abb0695093fe7a8b4387a6,1,0,0,1,0
P01_S03_MOU_0001,P01_S03_MOU_0001.jpg,train,P01,S03,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,1,7a8cd881f844a67207a3d933c5f27e2522983463d71f2c81b4ddd9b280d4b39e,1,0,0,0,0
P01_S03_MOU_0002,P01_S03_MOU_0002.jpg,train,P01,S03,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,1,7709ca4d7da7a044e2492a401c4cf828a7ecea5f0b6b1c6ba8f845fe7a79508c,1,0,0,0,0
P01_S03_MOU_0022,P01_S03_MOU_0022.jpg,train,P01,S03,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,1,29af0a60876decc869c6b9debf2c941d0610e37bf328206527d74546e9e1aeda,1,0,0,0,0
P01_S04_KEY_0001,P01_S04_KEY_0001.jpg,train,P01,S04,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,2,fda4ebfea77ba7e834ed0a40cf3d3ce7cfc7b2dc0332e038d5a2d7f89b5301b3,0,1,1,0,0
P01_S04_MIX_0003,P01_S04_MIX_0003.jpg,train,P01,S04,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,2,5052123656e7f27264ce6a936b156a39492b55160315f5e6ef3e83512e391971,0,1,0,0,1
P01_S04_MIX_0004,P01_S04_MIX_0004.jpg,train,P01,S04,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,5,b9b25e36e1944919beb64ef4db6362cc555f30e6de1e01ca8cffc3bd9b333d6f,1,1,1,1,1
P01_S04_MIX_0005,P01_S04_MIX_0005.jpg,train,P01,S04,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,5,262eecd0ba0006a78dbb5dd34ad9bcde975a4e4cd0c0beb3576e0300b5ea217e,1,1,1,1,1
P01_S04_MIX_0006,P01_S04_MIX_0006.jpg,train,P01,S04,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,3,753e2a5fdf254aa1530b6c76d03dc65a4f7958f6ca4ee8de808c5353a52e3b79,2,0,0,1,0
P01_S04_MIX_0007,P01_S04_MIX_0007.jpg,train,P01,S04,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,4,8fe39563610ba1a8674ad8cce934c71f204035ffbf4ac08067445d263b69ca9f,1,0,1,2,0
P01_S04_MIX_0008,P01_S04_MIX_0008.jpg,train,P01,S04,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,4,e73122d6d98bf25087a5b1ebf34589317c9cdf2186b64e8cef4bffbc686bc007,1,0,1,2,0
P01_S04_MIX_0009,P01_S04_MIX_0009.jpg,train,P01,S04,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,4,3314f3d20b35a5388570a916365765ce7224d8cab1322980cd140b066547f71d,1,0,1,1,1
P01_S04_MIX_0010,P01_S04_MIX_0010.jpg,train,P01,S04,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,4,0336ededcbeaa8ef0eaeeffc714f633cef9e66947328f3164de9a62e6f9e8de5,1,1,1,1,0
P01_S04_MIX_0011,P01_S04_MIX_0011.jpg,train,P01,S04,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,3,8f7b6614b5a6035803cdef1e1cf3e518b8e2a637089abf35dcb2367cd9fb8679,1,0,0,1,1
P01_S04_MIX_0012,P01_S04_MIX_0012.jpg,train,P01,S04,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,2,256b2728d4d43e5c955fb6e812996c70fabd107dd71e4c8b3a75f4565906a18b,0,1,1,0,0
P01_S04_MIX_0013,P01_S04_MIX_0013.jpg,train,P01,S04,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,4,a590c455cd63dba6d06ba8c54b1f3f224bd51e056defd467ce359dd0515735d5,1,1,1,0,1
P01_S04_MIX_0014,P01_S04_MIX_0014.jpg,train,P01,S04,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,3,20473765cf1267f7f7112045c9784630de543ae7fb4c6bf3bb331f85c3a92746,1,0,1,0,1
P01_S04_MIX_0015,P01_S04_MIX_0015.jpg,train,P01,S04,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,5,40bc674d4640212faca34fe3a89ff7fd5d40b5f828cec46492578c3ebf6dfc24,1,1,1,1,1
P01_S04_MIX_0016,P01_S04_MIX_0016.jpg,train,P01,S04,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,3,2cab75d5559e26356a1c883dc52bd1c22bacaddce20f352627396e537f39e53f,1,0,0,1,1
P01_S04_MIX_0017,P01_S04_MIX_0017.jpg,train,P01,S04,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,4,072c30b8a28cfc0c6841a3d8aca1b6dcd9c76d7c319265d488266799dd29abdd,1,0,1,1,1
P01_S04_MOU_0002,P01_S04_MOU_0002.jpg,train,P01,S04,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,1,4fc20f4ba0411bcf68148f96fd58028f8f985cbf3cc049022c42155145b9b995,1,0,0,0,0
P01_S05_NEG_0001,P01_S05_NEG_0001.jpg,train,P01,S05,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,1,0,8ab5955beaeb0700329930ecee4273f069d45b16e45ca019db5803982a32a805,0,0,0,0,0
P01_S05_NEG_0002,P01_S05_NEG_0002.jpg,train,P01,S05,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,1,0,9a0c2762800dfcbfd6527698dfa9dee9d9c9b40635500ce9abc3982769bf5fc4,0,0,0,0,0
P01_S05_NEG_0003,P01_S05_NEG_0003.jpg,train,P01,S05,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,1,0,043f4004bffe6158ecd090bfcb363f634ba87a1ebeda5c5daa4872dbb55a6647,0,0,0,0,0
P01_S05_NEG_0004,P01_S05_NEG_0004.jpg,train,P01,S05,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,1,0,85862c58ad080ba6d4de323dc9b52dd84960db659635d68331b1e5d0c5f380ec,0,0,0,0,0
P01_S05_NEG_0005,P01_S05_NEG_0005.jpg,train,P01,S05,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,1,0,5e4e9e0eaebe5a06f632efa65d13077f6e6d4db91cd9a8bc6e2221af291891c6,0,0,0,0,0
P01_S05_NEG_0006,P01_S05_NEG_0006.jpg,train,P01,S05,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,1,0,b9be43562ff0a14d55ab875c0f83662ff85b0555c7a486c6ead435be225b407b,0,0,0,0,0
P01_S06_MIX_0001,P01_S06_MIX_0001.jpg,val,P01,S06,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,2,6d8f99db2161b3fecee930326908bfac59ed32051daba051df16f94ffd72724b,0,0,1,0,1
P01_S06_MIX_0002,P01_S06_MIX_0002.jpg,val,P01,S06,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,4,aefb7c7b59329c3b7f6675b666470286e05c4b0e2220d2679b7febc4107e8df5,1,1,0,1,1
P01_S06_MIX_0003,P01_S06_MIX_0003.jpg,val,P01,S06,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,2,cd756f3152632d026879755999d4b2a8421b26d1e4b26fefb9698de77cf623ef,0,0,0,1,1
P01_S06_MIX_0004,P01_S06_MIX_0004.jpg,val,P01,S06,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,4,ff9fc85a35b63a37e81660c7effde20a5a8315358a319f6de039ea170b5c94ea,1,0,0,3,0
P01_S06_CUP_0001,P01_S06_CUP_0001.jpg,val,P01,S06,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,3,497ba3e1e7efb1d05046755ff5d48cdedd256584eb4c535ca6122e9e2c6fbb9b,0,0,0,3,0
P01_S06_MIX_0005,P01_S06_MIX_0005.jpg,val,P01,S06,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,2,7125ca9a24f4a69d34e3ce61394c057440897d95b140d220af864960eb4b14a3,0,0,1,0,1
P01_S06_MIX_0006,P01_S06_MIX_0006.jpg,val,P01,S06,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,2,31b271bd5162d2cae93174c4f216b7b7ce928415f2fea988a94d07aa6f9d5be5,0,0,1,1,0
P01_S06_MIX_0007,P01_S06_MIX_0007.jpg,val,P01,S06,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,4,e6fb77bc4679da018f5dc9e5b8a6c39389c01c872522f4751a78646c2e8a52f5,1,0,1,1,1
P01_S06_MIX_0008,P01_S06_MIX_0008.jpg,val,P01,S06,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,3,092c8db8c5ce67f71f091d579773a33fd2f1a8aea4d9a45b86d53e91826603ef,1,0,1,1,0
P01_S06_LAP_0001,P01_S06_LAP_0001.jpg,val,P01,S06,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,1,137e963f5af396b18745d51ad54dcdc4e9740c3721ccd93b8e2d549622dea0b1,0,0,1,0,0
P01_S06_LAP_0002,P01_S06_LAP_0002.jpg,val,P01,S06,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,1,e79c5623c999993f0d828b6cfd8c6eeb2a58f28ee8507cac709efb6d7d6bfa62,0,0,1,0,0
P01_S06_HDP_0001,P01_S06_HDP_0001.jpg,val,P01,S06,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,1,8a0851d6f0d74a5e0c955b3ab8d72329adac0977fe191d9b7b6deca1651c4dcf,0,0,0,0,1
P01_S06_MIX_0009,P01_S06_MIX_0009.jpg,val,P01,S06,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,4,5ce06f7b995c12ce4fc068bb92d69d76c0ea29b36c1100d0b5fc0cb4d4da7bd3,0,1,0,2,1
P01_S06_LAP_0003,P01_S06_LAP_0003.jpg,val,P01,S06,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,1,e9d4973161a2b9f58bf496405f11c58688c678226281b044d2da0d3783ba6182,0,0,1,0,0
P01_S06_MOU_0001,P01_S06_MOU_0001.jpg,val,P01,S06,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,1,181f3d83180350f25fb8be062948ef1b2302c2820a033a8173b1d127397b5c5d,1,0,0,0,0
P01_S06_MIX_0010,P01_S06_MIX_0010.jpg,val,P01,S06,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,3,b3fa5b44ae2cc1cd81d53de49364aae91357251a1b1c9db0a8cd925a27d2a949,0,1,0,1,1
P01_S06_CUP_0002,P01_S06_CUP_0002.jpg,val,P01,S06,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,2,0b30994c8ac77e9a714f52586eb0d8049b93d41ff5b6d10680959696305b76e7,0,0,0,2,0
P01_S06_CUP_0003,P01_S06_CUP_0003.jpg,val,P01,S06,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,1,b2693485d3c1c367932de7f3bc62d1994a79d932bdbaa819153978ae54a37f90,0,0,0,1,0
P01_S06_MIX_0011,P01_S06_MIX_0011.jpg,val,P01,S06,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,3,c3a1663831d124e55aafe31ceaed5f123c56766cbfd6a715c8a8a68430b93368,1,0,1,1,0
P01_S06_LAP_0004,P01_S06_LAP_0004.jpg,val,P01,S06,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,1,5a2a8bad54033a2991197d65f349a3e422409d420ff0ee05916c347b470b9999,0,0,1,0,0
P01_S06_HDP_0002,P01_S06_HDP_0002.jpg,val,P01,S06,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,1,80a66a416db6d88b2424de4a70d50fd011c1b61598d132f534f4660e417d3f70,0,0,0,0,1
P01_S06_MIX_0012,P01_S06_MIX_0012.jpg,val,P01,S06,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,2,263d68ef9253182a70fe539c4f060ef0e506e217678678354b84040588d97d74,0,1,0,0,1
